iter	Passed	Remaining
962	17675	19033
963	17692	19013
964	17709	18993
965	17726	18973
966	17742	18953
967	17758	18932
968	17776	18913
969	17793	18894
970	17811	18875
971	17830	18857
972	17848	18838
973	17863	18817
974	17881	18798
975	17899	18780
976	17919	18763
977	17939	18746
978	17955	18725
979	17972	18706
980	17989	18686
981	18005	18665
982	18024	18648
983	18041	18628
984	18057	18607
985	18074	18587
986	18093	18570
987	18110	18550
988	18127	18530
989	18146	18513
990	18164	18494
991	18180	18473
992	18199	18456
993	18219	18439
994	18253	18436
995	18284	18430
996	18310	18420
997	18328	18402
998	18344	18380
999	18362	18362
1000	18379	18342
1001	18397	18324
1002	18413	18303
1003	18429	18282
1004	18446	18262
1005	18463	18243
1006	18481	18224
1007	18500	18207
1008	18516	18186
1009	18533	18166
1010	18550	18146
1011	18567	18126
1012	18583	18106
1013	18603	18089
1014	18620	18070
1015	18643	18056
1016	18670	18045
1017	18692	18031
1018	18709	18011
1019	18727	17993
1020	18746	17975
1021	18766	17958
1022	18786	17941
1023	18804	17922
1024	18822	17904
1025	18838	17883
1026	18854	17863
1027	18870	17842
1028	18888	17824
1029	18907	17806
1030	18927	17789
1031	18943	17768
1032	18959	17748
1033	18977	17729
1034	18993	17708
1035	19012	17690
1036	19029	17671
1037	19046	17651
1038	19062	17631
1039	19081	17613
1040	19098	17594
1041	19117	17576
1042	19133	17555
1043	19149	17534
1044	19169	17518
1045	19186	17499
1046	19202	17478
1047	19218	17458
1048	19234	17437
1049	19252	17419
1050	19271	17400
1051	19290	17383
1052	19324	17378
1053	19353	17370
1054	19376	17355
1055	19393	17336
1056	19413	17319
1057	19431	17301
1058	19446	17279
1059	19464	17261
1060	19481	17241
1061	19497	17220
1062	19516	17203
1063	19541	17190
1064	19564	17176
1065	19581	17156
1066	19598	17137
1067	19617	17118
1068	19637	17102
1069	19654	17082
1070	19669	17062
1071	19687	17043
1072	19711	17029
1073	19736	17017
1074	19756	17000
1075	19773	16980
1076	19791	16961
1077	19812	16944
1078	19831	16927
1079	19850	16909
1080	19867	16889
1081	19886	16872
1082	19903	16852
1083	19920	16832
1084	19942	16817
1085	19961	16800
1086	19977	16780
1087	19995	16761
1088	20013	16741
1089	20029	16721
1090	20049	16704
1091	20066	16685
1092	20085	16667
1093	20101	16647
1094	20118	16627
1095	20137	16610
1096	20156	16592
1097	20172	16571
1098	20190	16552
1099	20207	16533
1100	20224	16514
1101	20244	16496
1102	20260	16476
1103	20277	16457
1104	20294	16437
1105	20312	16419
1106	20328	16399
1107	20350	16383
1108	20388	16380
1109	20413	16367
1110	20433	16350
1111	20449	16330
1112	20469	16313
1113	20487	16294
1114	20503	16273
1115	20519	16254
1116	20539	16236
1117	20558	16218
1118	20575	16199
1119	20592	16179
1120	20609	16160
1121	20629	16142
1122	20648	16125
1123	20666	16106
1124	20682	16086
1125	20698	16065
1126	20714	16045
1127	20728	16024
1128	20756	16012
1129	20781	15999
1130	20801	15983
1131	20816	15962
1132	20834	15943
1133	20852	15924
1134	20870	15905
1135	20888	15887
1136	20906	15868
1137	20923	15849
1138	20950	15836
1139	20967	15817
1140	20985	15799
1141	21003	15780
1142	21018	15759
1143	21037	15741
1144	21056	15723
1145	21073	15704
1146	21091	15685
1147	21110	15667
1148	21128	15648
1149	21148	15631
1150	21164	15611
1151	21184	15593
1152	21201	15574
1153	21218	15555
1154	21236	15536
1155	21252	15516
1156	21270	15497
1157	21287	15478
1158	21307	15461
1159	21324	15441
1160	21344	15424
1161	21368	15410
1162	21396	15399
1163	21422	15385
1164	21451	15375
1165	21481	15364
1166	21501	15347
1167	21518	15328
1168	21538	15310
1169	21556	15292
1170	21582	15278
1171	21609	15267
1172	21630	15250
1173	21646	15229
1174	21664	15211
1175	21678	15189
1176	21693	15169
1177	21712	15150
1178	21730	15132
1179	21755	15117
1180	21773	15099
1181	21795	15083
1182	21822	15071
1183	21848	15057
1184	21866	15039
1185	21881	15018
1186	21910	15007
1187	21928	14988
1188	21947	14970
1189	21964	14950
1190	21981	14931
1191	21996	14910
1192	22012	14890
1193	22033	14873
1194	22049	14853
1195	22065	14833
1196	22081	14813
1197	22097	14793
1198	22113	14773
1199	22128	14752
1200	22149	14735
1201	22164	14714
1202	22178	14693
1203	22194	14673
1204	22211	14654
1205	22230	14635
1206	22251	14619
1207	22268	14599
1208	22287	14581
1209	22317	14570
1210	22346	14559
1211	22383	14553
1212	22410	14539
1213	22426	14519
1214	22444	14501
1215	22463	14483
1216	22490	14469
1217	22518	14457
1218	22542	14442
1219	22563	14425
1220	22579	14405
1221	22596	14386
1222	22611	14365
1223	22629	14346
1224	22647	14327
1225	22674	14315
1226	22691	14295
1227	22705	14274
1228	22726	14257
1229	22742	14237
1230	22759	14217
1231	22777	14198
1232	22793	14178
1233	22808	14158
1234	22822	14136
1235	22836	14115
1236	22860	14100
1237	22887	14087
1238	22906	14069
1239	22921	14048
1240	22936	14028
1241	22955	14009
1242	22970	13989
1243	22986	13969
1244	23001	13948
1245	23017	13928
1246	23034	13909
1247	23052	13890
1248	23071	13872
1249	23086	13851
1250	23103	13832
1251	23119	13812
1252	23135	13792
1253	23150	13771
1254	23168	13753
1255	23182	13732
1256	23200	13713
1257	23215	13693
1258	23231	13673
1259	23246	13652
1260	23263	13633
1261	23279	13613
1262	23296	13594
1263	23314	13575
1264	23330	13555
1265	23348	13536
1266	23369	13519
1267	23386	13500
1268	23402	13480
1269	23419	13461
1270	23437	13442
1271	23464	13429
1272	23491	13415
1273	23507	13396
1274	23523	13376
1275	23551	13363
1276	23589	13355
1277	23610	13338
1278	23626	13318
1279	23640	13297
1280	23655	13277
1281	23670	13257
1282	23687	13237
1283	23702	13217
1284	23721	13199
1285	23737	13179
1286	23752	13159
1287	23768	13139
1288	23784	13119
1289	23799	13099
1290	23816	13079
1291	23831	13059
1292	23849	13040
1293	23865	13020
1294	23882	13001
1295	23900	12982
1296	23927	12969
1297	23953	12954
1298	23972	12936
1299	23987	12916
1300	24004	12897
1301	24020	12877
1302	24037	12858
1303	24052	12838
1304	24069	12818
1305	24089	12801
1306	24105	12781
1307	24121	12761
1308	24138	12742
1309	24154	12722
1310	24171	12703
1311	24187	12683
1312	24203	12663
1313	24220	12644
1314	24237	12625
1315	24286	12623
1316	24319	12612
